iter	Passed	Remaining
449	1108	1355
450	1110	1352
451	1114	1351
452	1119	1351
453	1122	1350
454	1124	1347
455	1126	1344
456	1129	1341
457	1131	1339
458	1133	1335
459	1135	1332
460	1137	1329
461	1139	1327
462	1141	1323
463	1143	1320
464	1146	1318
465	1148	1316
466	1151	1314
467	1154	1312
468	1156	1309
469	1162	1310
470	1165	1308
471	1168	1306
472	1170	1304
473	1172	1301
474	1175	1299
475	1178	1296
476	1183	1297
477	1185	1294
478	1188	1292
479	1191	1290
480	1193	1287
481	1195	1285
482	1198	1282
483	1201	1280
484	1203	1277
485	1206	1275
486	1208	1273
487	1214	1274
488	1217	1271
489	1220	1270
490	1223	1268
491	1225	1265
492	1228	1263
493	1230	1260
494	1233	1257
495	1237	1257
496	1239	1254
497	1244	1254
498	1246	1251
499	1249	1249
500	1251	1246
501	1254	1244
502	1256	1241
503	1258	1238
504	1260	1236
505	1263	1233
506	1265	1230
507	1269	1229
508	1272	1227
509	1276	1226
510	1283	1227
511	1286	1225
512	1289	1224
513	1292	1221
514	1296	1220
515	1299	1218
516	1301	1215
517	1305	1215
518	1308	1212
519	1311	1210
520	1313	1208
521	1316	1205
522	1319	1203
523	1321	1200
524	1323	1197
525	1327	1196
526	1337	1200
527	1342	1200
528	1346	1198
529	1351	1198
530	1353	1195
531	1356	1192
532	1358	1190
533	1360	1187
534	1363	1184
535	1365	1182
536	1367	1179
537	1369	1176
538	1372	1173
539	1373	1170
540	1376	1167
541	1379	1165
542	1380	1161
543	1382	1159
544	1385	1156
545	1387	1153
546	1390	1151
547	1395	1150
548	1396	1147
549	1399	1144
550	1402	1142
551	1404	1140
552	1409	1139
553	1411	1136
554	1413	1133
555	1418	1132
556	1420	1129
557	1423	1127
558	1425	1124
559	1426	1121
560	1428	1118
561	1431	1115
562	1433	1112
563	1434	1109
564	1438	1107
565	1440	1104
566	1442	1101
567	1445	1099
568	1447	1096
569	1449	1093
570	1452	1091
571	1454	1088
572	1456	1085
573	1458	1082
574	1461	1079
575	1462	1076
576	1464	1073
577	1467	1071
578	1469	1068
579	1471	1065
580	1473	1062
581	1475	1059
582	1477	1056
583	1479	1053
584	1482	1051
585	1484	1048
586	1486	1045
587	1488	1043
588	1491	1040
589	1493	1037
590	1494	1034
591	1497	1032
592	1500	1029
593	1502	1026
594	1504	1024
595	1506	1021
596	1508	1018
597	1511	1015
598	1513	1013
599	1515	1010
600	1516	1007
601	1519	1004
602	1521	1001
603	1522	998
604	1525	995
605	1527	993
606	1530	990
607	1532	987
608	1535	985
609	1537	982
610	1539	980
611	1542	977
612	1544	975
613	1548	973
614	1550	970
615	1552	967
616	1554	964
617	1556	962
618	1558	959
619	1560	956
620	1564	954
621	1566	951
622	1568	948
623	1572	947
624	1574	944
625	1575	941
626	1578	939
627	1581	937
628	1583	934
629	1586	931
630	1588	928
631	1590	926
632	1594	924
633	1596	921
634	1598	918
635	1600	915
636	1602	913
637	1604	910
638	1605	907
639	1607	904
640	1610	901
641	1611	898
642	1614	896
643	1616	893
644	1618	890
645	1619	887
646	1622	885
647	1625	882
648	1627	880
649	1631	878
650	1635	876
651	1639	874
652	1641	872
653	1644	869
654	1646	867
655	1648	864
656	1650	861
657	1652	859
658	1654	856
659	1656	853
660	1659	850
661	1661	848
662	1663	845
663	1665	842
664	1667	840
665	1669	837
666	1671	834
667	1673	831
668	1676	829
669	1679	827
670	1683	825
671	1686	823
672	1690	821
673	1693	818
674	1695	816
675	1698	814
676	1705	813
677	1708	811
678	1712	809
679	1714	806
680	1716	804
681	1718	801
682	1720	798
683	1722	795
684	1724	792
685	1727	790
686	1728	787
687	1730	784
688	1732	782
689	1734	779
690	1736	776
691	1738	773
692	1741	771
693	1743	768
694	1745	765
695	1747	763
696	1749	760
697	1751	757
698	1753	755
699	1755	752
700	1758	749
701	1760	747
702	1762	744
703	1764	741
704	1765	738
705	1768	736
706	1771	734
707	1772	731
708	1774	728
709	1776	725
710	1779	723
711	1781	720
712	1784	718
713	1786	715
714	1788	712
715	1790	710
716	1792	707
717	1794	704
718	1796	701
719	1797	699
720	1800	696
721	1802	694
722	1804	691
723	1807	689
724	1809	686
725	1811	683
726	1815	681
727	1817	678
728	1818	676
729	1821	673
730	1823	671
731	1825	668
732	1827	665
733	1831	663
734	1833	660
735	1835	658
736	1837	655
737	1839	652
738	1841	650
739	1843	647
740	1845	644
741	1847	642
742	1849	639
743	1852	637
744	1854	634
745	1856	632
746	1858	629
747	1860	626
748	1862	624
749	1864	621
750	1866	618
751	1868	616
752	1870	613
753	1871	610
754	1874	608
755	1876	605
756	1878	603
757	1882	600
758	1884	598
759	1886	595
760	1888	593
761	1890	590
762	1892	587
763	1894	585
764	1896	582
765	1900	580
766	1903	578
767	1905	575
768	1906	572
769	1909	570
770	1911	567
771	1913	565
772	1915	562
773	1917	559
774	1919	557
775	1921	554
776	1923	552
777	1925	549
778	1928	547
779	1931	544
780	1933	542
781	1936	539
782	1938	537
783	1941	534
784	1943	532
785	1944	529
786	1947	527
787	1949	524
788	1950	521
789	1952	519
790	1955	516
791	1957	513
792	1959	511
793	1961	508
794	1963	506
795	1965	503
796	1968	501
797	1970	498
798	1972	496
799	1975	493
800	1977	491
801	1979	488
802	1980	485
803	1986	484
804	1988	481
805	1990	479
806	1992	476
807	1994	473
808	1996	471
809	1998	468
810	2000	466
811	2002	463
812	2004	461
813	2006	458
814	2008	455
815	2010	453
816	2013	451
817	2015	448
818	2017	445
819	2019	443
820	2021	440
821	2024	438
822	2026	435
823	2028	433
824	2031	430
825	2032	428
826	2035	425
827	2036	423
828	2038	420
829	2040	417
830	2042	415
831	2044	412
832	2045	410
833	2047	407
834	2049	405
835	2051	402
836	2054	400
837	2056	397
838	2058	395
839	2060	392
840	2062	389
841	2065	387
842	2067	385
843	2069	382
844	2071	379
845	2073	377
846	2075	374
847	2077	372
848	2079	369
849	2081	367
850	2083	364
851	2085	362
852	2087	359
853	2089	357
854	2091	354
855	2093	352
856	2095	349
857	2097	347
858	2099	344
859	2101	342
860	2103	339
861	2105	337
862	2106	334
863	2109	332
864	2111	329
865	2113	327
866	2116	324
867	2118	322
868	2119	319
869	2121	317
870	2123	314
871	2125	312
872	2127	309
873	2129	307
874	2131	304
875	2133	301
876	2135	299
877	2137	296
878	2139	294
879	2141	292
880	2143	289
881	2146	287
882	2147	284
883	2149	282
884	2151	279
885	2153	277
886	2155	274
887	2157	272
888	2159	269
889	2161	267
890	2163	264
891	2165	262
892	2167	259
893	2169	257
894	2170	254
895	2172	252
896	2174	249
897	2176	247
898	2178	244
899	2179	242
900	2182	239
901	2183	237
902	2185	234
903	2187	232
904	2189	229
905	2191	227
906	2192	224
907	2194	222
908	2196	219
909	2198	217
910	2200	214
911	2201	212
912	2203	209
913	2205	207
914	2207	205
915	2208	202
916	2211	200
917	2213	197
918	2214	195
919	2218	192
920	2220	190
921	2221	187
922	2223	185
923	2225	183
924	2227	180
925	2229	178
926	2231	175
927	2233	173
928	2235	170
929	2236	168
930	2238	165
931	2241	163
932	2243	161
933	2244	158
934	2246	156
935	2249	153
936	2250	151
937	2252	148
938	2255	146
939	2257	144
940	2259	141
941	2261	139
942	2263	136
943	2265	134
944	2266	131
945	2269	129
946	2270	127
947	2272	124
948	2274	122
949	2276	119
950	2278	117
951	2280	114
952	2282	112
953	2284	110
954	2285	107
955	2287	105
956	2289	102
957	2291	100
958	2292	98
959	2294	95
960	2296	93
961	2297	90
962	2299	88
963	2301	85
964	2303	83
965	2304	81
966	2306	78
967	2308	76
968	2310	73
969	2312	71
970	2315	69
971	2316	66
972	2318	64
973	2321	61
974	2323	59
975	2325	57
976	2327	54
977	2329	52
978	2331	50
979	2333	47
980	2335	45
981	2337	42
982	2339	40
983	2341	38
984	2343	35
985	2345	33
986	2346	30
987	2348	28
988	2352	26
989	2354	23
990	2356	21
991	2358	19
992	2359	16
993	2361	14
994	2363	11
995	2367	9
996	2369	7
997	2371	4
998	2373	2
999	2375	0
